fname,Electronic,Experimental,Folk,Hip-Hop,Instrumental,International,Pop,Rock,y_pred
ODESZA_Late Night.wav,0.11618967354297638,0.08174920082092285,0.15748178958892822,0.2090364396572113,0.04525335133075714,0.056811630725860596,0.20491892099380493,0.12855909764766693,Hip-Hop
ODESZA_Sundara.wav,0.13162192702293396,0.10038454830646515,0.053884390741586685,0.321152925491333,0.001763013657182455,0.08481001853942871,0.11781758815050125,0.18856562674045563,Hip-Hop
OMI_Cheerleader - Felix Jaehn Remix Radio Edit.wav,0.20398493111133575,0.11238645017147064,0.03832991048693657,0.3941316604614258,0.006160774268209934,0.04683453217148781,0.11799129843711853,0.08018022775650024,Hip-Hop
OutKast_Roses.wav,0.1583878993988037,0.060053590685129166,0.045391958206892014,0.2313690483570099,0.007487971801310778,0.09912923723459244,0.16104058921337128,0.2371397465467453,Rock
Panic! At The Disco_I Write Sins Not Tragedies.wav,0.08860649168491364,0.11464915424585342,0.06194373220205307,0.07790648937225342,0.0006782704731449485,0.03380385413765907,0.22515499591827393,0.39725691080093384,Rock
Passenger_Let Her Go.wav,0.077549047768116,0.06650466471910477,0.08968525379896164,0.10896844416856766,0.0027143892366439104,0.03160688653588295,0.1948484629392624,0.42812272906303406,Rock
"Pink Floyd_Another Brick in the Wall, Pt. 2.wav",0.05294058844447136,0.09305670857429504,0.12651720643043518,0.161666139960289,0.037749189883470535,0.18342018127441406,0.13649168610572815,0.2081582397222519,Rock
Pink Floyd_Comfortably Numb.wav,0.02719695121049881,0.09974384307861328,0.13533341884613037,0.09696026891469955,0.010741131380200386,0.22038261592388153,0.20414739847183228,0.20549426972866058,International
Portugal. The Man_Feel It Still.wav,0.22910016775131226,0.10200425237417221,0.035292502492666245,0.32612621784210205,0.009193447418510914,0.05807776749134064,0.14535418152809143,0.09485131502151489,Hip-Hop
Ryuichi Sakamoto_async.wav,0.19413909316062927,0.06447098404169083,0.1280767023563385,0.1465960592031479,0.04271625354886055,0.21369999647140503,0.11251872032880783,0.09778231382369995,International
Ryuichi Sakamoto_fullmoon.wav,0.04318118467926979,0.12685143947601318,0.19334806501865387,0.19275318086147308,0.059225745499134064,0.1321406364440918,0.14024944603443146,0.11225037276744843,Folk
Ryuichi Sakamoto_garden.wav,0.014568702317774296,0.6212470531463623,0.17296309769153595,0.05772260203957558,0.00011405671830289066,0.05759849399328232,0.03887223079800606,0.036914024502038956,Experimental
Ryuichi Sakamoto_solari.wav,0.017352521419525146,0.22799909114837646,0.40062740445137024,0.12982915341854095,0.004210392478853464,0.023663470521569252,0.12574434280395508,0.07057354599237442,Folk
"Sergei Rachmaninoff_Rhapsody On a Theme of Paganini, Op. 43  V. Variation XVIII.wav",0.02393355593085289,0.19729021191596985,0.19486725330352783,0.08050591498613358,0.12163060158491135,0.19949157536029816,0.11583034694194794,0.06645050644874573,International
