fname,Electronic,Experimental,Folk,Hip-Hop,Instrumental,International,Pop,Rock,y_pred,preview_url,picture
"Johann Sebastian Bach_Bach, JS  Orchestral Suite No. 3 in D Major, BWV 1068  II. Air.wav",0.019205468,0.223968461,0.169415593,0.095792316,0.06596528,0.18313086,0.17322605800000002,0.06929592,Experimental,https://p.scdn.co/mp3-preview/5eaf003369eebc28320c4410f5ce8ece0e343609?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273ba73be0a4485817aeacc3623
John Legend_All of Me.wav,0.018605188,0.07760597799999999,0.32542052899999996,0.145900249,0.037882015,0.130686864,0.183202177,0.080696821,Folk,https://p.scdn.co/mp3-preview/488c53471e56ff9f629652691444438951e880bb?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b27394c9217a398f5174757c0c78
Kara-Lis Coverdale_Grafts.wav,0.010255465,0.102452949,0.47632852200000003,0.11574572300000001,0.04300005,0.120923355,0.07875874599999999,0.052535154,Folk,https://p.scdn.co/mp3-preview/3a811f0c9a8173c7f4b8272735d192cba46c34cc?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b27306ccbf4ba7531b5f1dab00e6
Keith Fullerton Whitman_Automatic Ping.wav,0.018115032,0.435681105,0.075941272,0.107585333,0.059045237,0.247744173,0.032982115,0.022905767,Experimental,https://p.scdn.co/mp3-preview/379edfb82c7a52f565935565b574afb7f170ff73?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273cccdd28c732c84a578467270
Kodaline_All I Want.wav,0.06999696799999999,0.17024487300000002,0.209669009,0.28190136,0.00147401,0.033129197,0.12539953,0.108185194,Hip-Hop,https://p.scdn.co/mp3-preview/ee5e210cdea9f22e545ea435c0467dcecdeb41ca?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b27374b1285d420d4d8494c72df5
Koreless_LOVE.wav,0.059409443,0.321449488,0.112904362,0.190085337,0.06323791299999999,0.08751572699999999,0.11702992,0.048367944,Experimental,https://p.scdn.co/mp3-preview/36f7da69abceaa950da51e1ef4d52de530d52ffa?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b27318d92d8cd2b23abbac4a8a60
Led Zeppelin_Black Dog - Remaster.wav,0.012560551000000001,0.162285969,0.122855961,0.10977086400000001,0.012194668,0.142514363,0.139007047,0.29881066100000003,Rock,https://p.scdn.co/mp3-preview/9b76619fd9d563a48d38cc90ca00c3008327b52e?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273c8a11e48c91a982d086afc69
Lil Nas X_Old Town Road - Remix.wav,0.242046729,0.12677232900000002,0.022559372999999997,0.399917036,0.008332715,0.028792311,0.11791393900000001,0.05366566,Hip-Hop,https://p.scdn.co/mp3-preview/d94ec2ebe62fd52cf038760f57c251c145346bb2?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273c0e7bf5cdd630f314f20586a
Loreena McKennitt_All Souls Night.wav,0.037415903,0.120526887,0.160125285,0.094221286,0.002311727,0.163337752,0.204719558,0.217341542,Rock,https://p.scdn.co/mp3-preview/cabadf8443bcd837e5b8057059b89e4e35a0db90?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273b7350551528a0ca28c4dc75d
Loreena McKennitt_La Serenissima.wav,0.009717115,0.069726333,0.264347225,0.059026115,0.11017880599999999,0.18700061699999998,0.170183256,0.12982043599999998,Folk,https://p.scdn.co/mp3-preview/607ccffa482aa4271730e82d17c37a88910d4280?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b2736add457a1bc4ee2edae57799
Loreena McKennitt_Skellig.wav,0.020514362,0.08657570199999999,0.21720263399999998,0.106182739,0.019995015,0.219384238,0.108813994,0.221331179,Rock,https://p.scdn.co/mp3-preview/1c31f8d7226d4457d166e85132f8a2150527bec1?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b2736add457a1bc4ee2edae57799
Macklemore & Ryan Lewis_Can't Hold Us - feat. Ray Dalton.wav,0.154082611,0.086452432,0.102411419,0.19836401899999997,0.0016969029999999998,0.034665242,0.186711669,0.235615551,Rock,https://p.scdn.co/mp3-preview/2c529a40d846a04151fed237da99736e1a372e1c?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273d7658a5bf66a2f3f11878bdf
Macklemore & Ryan Lewis_Thrift Shop (feat. Wanz).wav,0.11557228900000001,0.074347012,0.028718900000000002,0.494763136,0.018818328,0.14576526,0.072570756,0.049444422,Hip-Hop,https://p.scdn.co/mp3-preview/2c529a40d846a04151fed237da99736e1a372e1c?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273d7658a5bf66a2f3f11878bdf
Major Lazer_Lean On (feat. MØ & DJ Snake).wav,0.103143401,0.157787025,0.034454115,0.184298515,0.010526083,0.266129732,0.183951363,0.059709690999999995,International,https://p.scdn.co/mp3-preview/a2fb514286bfd42f6b823f29ec3d965d90b89fb4?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273ed17a14e09145f2986a42726
Mark Ronson_Uptown Funk.wav,0.29936114,0.07743708,0.039056073999999996,0.259845614,0.025505275,0.06913417599999999,0.127633572,0.102027133,Electronic,https://p.scdn.co/mp3-preview/88a794d97fcb4475f72a27be7baf71b94d5a9dda?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b27375a609817a8b9a5d1ea6911d
Melnitsa_Королевна.wav,0.02890317,0.10954067099999999,0.321069479,0.073514275,0.022812296,0.221589133,0.16851763399999997,0.054053206,Folk,https://p.scdn.co/mp3-preview/afaacad1c46819480b06482b8929a1880edd8c83?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273fd502a8841d42d95921050ac
Melnitsa_Оборотень.wav,0.031396199,0.081702575,0.177501455,0.148239985,0.00047517800000000004,0.06929747,0.37215364,0.119233504,Pop,https://p.scdn.co/mp3-preview/efd2f6e41a49a6f1258e3b68d4c64fcf66a3846c?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273be14b022e82a4dbedffbc8b9
Metallica_Nothing Else Matters.wav,0.133632883,0.038531288999999996,0.078666508,0.254596502,0.024402147000000003,0.101376668,0.193725124,0.17506896,Hip-Hop,,https://i.scdn.co/image/ab67616d0000b273cf84c5b276431b473e924802
Michael Jackson_Billie Jean.wav,0.20260401100000003,0.12105228800000001,0.058098618,0.233651921,0.005742308000000001,0.08913061800000001,0.152384236,0.137336239,Hip-Hop,https://p.scdn.co/mp3-preview/f504e6b8e037771318656394f532dede4f9bcaea?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b2734121faee8df82c526cbab2be
Michael Jackson_Smooth Criminal - 2012 Remaster.wav,0.137348995,0.274632424,0.030387107000000003,0.18704369699999998,0.005665936,0.054568607000000005,0.127801031,0.18255238199999999,Experimental,https://p.scdn.co/mp3-preview/8dcbe2702477ac98c7c711cbafcac43e10063949?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b2731bb21d27effb96a1d0fe8d6d
ODESZA_A Moment Apart.wav,0.09906242,0.087786265,0.116933644,0.08308997,0.029353722999999998,0.056887593,0.175628707,0.35125765200000003,Rock,https://p.scdn.co/mp3-preview/b1e7ba9df703f098d879960c11eb6552024b152f?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b27399a3a1c380019cdc2ba9b8c2
